"City","Tree","DBH","CrownA","CrownB","Size","Location","Latitude","Longitude","first.doy","last.doy","drop.none","drop.early","drop.50","drop.all","color.none","color.early","color.50","color.all","PPT","TMEAN","TMIN01","TMAX07"
"Longmont","JADE.1",9.3,6.37,7.16,"tall/big","Home",40.185483,-105.142355,287,322,NA,287,NA,NA,NA,287,308,322,362.805999755859,10.1599998474121,-8.8056001663208,31.937198638916
"Fort Collins","JADE.1",8.1,3.5,4.5,"tall/skinny","Mountain/Sherwood",40.586756,-105.08422,290,310,NA,290,304,310,NA,290,NA,297,388.071990966797,9.34999942779541,-9.2834997177124,30.5296001434326
"Longmont","JADE.10",5,4.36,3.35,"tall/big","Harvard",40.187721,-105.14048,288,322,NA,288,NA,NA,NA,288,295,315,363.074981689453,10.1499996185303,-8.77330017089844,31.9186000823975
"Fort Collins","JADE.10",7.5,5,4.5,"tall/skinny","$2.3 mil House",40.587286,-105.09507,290,317,NA,290,297,317,NA,NA,290,297,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Longmont","JADE.2",2,2.38,2.47,"Small","Stacy’s Tree",40.18472,-105.14444,288,322,NA,NA,295,308,NA,288,NA,295,362.805999755859,10.1599998474121,-8.8056001663208,31.937198638916
"Fort Collins","JADE.2",3.7,2.5,2.3,"tall/skinny","Mountain Ave",40.587183,-105.09038,290,310,NA,290,304,310,NA,290,297,304,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Longmont","JADE.3",9.1,5.3,4.63,"tall/big","Northwestern Corner",40.184459,-105.14466,288,322,NA,288,308,NA,NA,288,295,308,362.805999755859,10.1599998474121,-8.8056001663208,31.937198638916
"Fort Collins","JADE.3",4.3,2,2,"tall/skinny","Loomis",40.583928,-105.08799,290,324,NA,290,304,324,NA,290,310,304,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Longmont","JADE.4",8.4,4.57,3.35,"Tall/big","Flag House",40.183898,-105.14384,288,322,288,295,308,315,NA,288,NA,301,362.805999755859,10.1599998474121,-8.8056001663208,31.937198638916
"Fort Collins","JADE.4",4.3,3.1,4.77,"tall/skinny","Trump House on Olive/Grant",40.583757,-105.08982,290,310,NA,290,297,310,NA,290,NA,297,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Longmont","JADE.5",5.6,5.3,3.35,"tall/big","LEE",40.185251,-105.14689,288,322,288,295,315,322,NA,288,NA,308,364.632995605469,10.1499996185303,-8.87459945678711,31.9902992248535
"Fort Collins","JADE.5",7.18,4.9,4.65,"tall/skinny","S Magnolia/Washington",40.583044,-105.09116,290,317,NA,290,304,317,NA,290,NA,297,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Longmont","JADE.6",4.5,2.47,3.35,"tall/skinny","Vorhaus Trees",40.186701,-105.14961,288,322,NA,288,308,NA,NA,288,295,308,364.632995605469,10.1499996185303,-8.87459945678711,31.9902992248535
"Fort Collins","JADE.6",5.7,5.2,4.1,"tall/skinny","Magnolia/Washington",40.582892,-105.09193,290,310,NA,290,297,304,NA,NA,290,297,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Longmont","JADE.7",5,2.44,3.96,"tall/big","Pumpkin Colored House",40.187519,-105.15018,288,322,288,295,315,NA,NA,288,NA,301,365.920989990234,10.1499996185303,-8.8105001449585,31.9200000762939
"Fort Collins","JADE.7",5.57,4.54,5.52,"short/small","W Magnolia",40.582912,-105.09861,290,317,NA,290,297,317,NA,NA,290,317,402.651000976562,9.34999942779541,-9.14009952545166,30.503698348999
"Longmont","JADE.8",4,2.23,1.52,"small","McIntosh Ovaries",40.190506,-105.14435,288,322,288,295,315,322,NA,288,301,308,363.074981689453,10.1499996185303,-8.77330017089844,31.9186000823975
"Fort Collins","JADE.8",2.84,5.5,5.4,"tall/skinny","Red/Green House Across from Park",40.584808,-105.09931,297,324,NA,297,317,324,NA,297,304,317,402.651000976562,9.34999942779541,-9.14009952545166,30.503698348999
"Longmont","JADE.9",2.8,2.8,2.71,"small","McIntosh Boat Launch",40.2,-105,288,322,288,295,322,NA,NA,288,NA,308,362.832000732422,9.94999980926514,-9.35050010681152,31.8708992004395
"Fort Collins","JADE.9",4.8,4.8,4.1,"tall/skinny","Red Door House",40.586971,-105.09884,290,310,NA,290,297,304,NA,NA,NA,290,402.651000976562,9.34999942779541,-9.14009952545166,30.503698348999
"Fort Collins","MASON.1",7.5,4.5,4.2,"tall/skinny","Plum and Matthew",40.577051,-105.07434,290,310,NA,290,297,310,NA,NA,290,310,391.827880859375,9.38000011444092,-9.28020000457764,30.5757999420166
"Fort Collins","MASON.10",9.52,7.5,7.3,"tall/big","Mack and Bungalow",40.588068,-105.09356,290,318,NA,290,NA,NA,NA,290,310,318,394.005889892578,9.36989974975586,-9.19110012054443,30.5304985046387
"Fort Collins","MASON.11",1.87,1.9,2,"short/small","Mountain and Shields",40.587353,-105.09505,297,318,NA,NA,297,318,NA,297,304,318,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Fort Collins","MASON.12",3.7,2.5,2.3,"tall/skinny","Mountain and Grant",40.587271,-105.09027,297,310,NA,NA,297,310,NA,NA,297,304,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Fort Collins","MASON.13",0.7,1.1,0.8,"tall/skinny","Whitcomb and Olive",40.584768,-105.08604,290,310,NA,290,297,304,NA,NA,290,297,388.071990966797,9.34999942779541,-9.2834997177124,30.5296001434326
"Fort Collins","MASON.14",4.3,2,2,"tall/skinny","Olive and Loomis",40.58385,-105.0882,290,318,NA,290,310,318,NA,290,NA,304,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Fort Collins","MASON.15",4.3,3.1,4.7,"tall/skinny","Olive and Grant",40.583615,-105.0899,290,310,NA,290,304,310,NA,NA,290,304,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
"Fort Collins","MASON.16",7.18,4.9,4.7,"tall/skinny","Magnolia and Washington (East)",40.583039,-105.09109,297,318,NA,NA,297,318,NA,NA,297,304,393.360992431641,9.35999965667725,-9.20370006561279,30.5341987609863
